,object_fourier_descriptor_09,object_hu_moment_1,object_hu_moment_3,object_fourier_descriptor_05,object_kurtosis,object_structure,object_area,object_fourier_descriptor_06,object_hu_moment_4,object_graymean,object_hu_moment_7,object_fourier_descriptor_02,object_fourier_descriptor_03,object_area_px,object_haul,object_fourier_descriptor_01,object_fourier_descriptor_07,object_fourier_descriptor_04,object_skewness,object_hu_moment_5,object_hu_moment_6,object_width,object_lenght,object_convexity,object_form,object_fourier_descriptor_10,object_index,object_dr._haardt_fluorescence_channel_a,object_conductivity,object_fourier_descriptor_08,object_hu_moment_2,taxon
34843,142.51146819999997,0.16153748099999998,0.000120972,137.2476635,-0.322702903,9364.60692,0.648,202.7713546,2.7e-08,72.0,-4.88e-14,11502.2791,855.029663,4989.0,53.0,44560.56061,170.923567,228.980067,1.2048918770000001,-2.3899999999999998e-15,-9.100000000000001e-11,0.0,0.0,3.635673761,1.7792943559999999,91.35252256,36971.0,2.116,31.159000000000002,35.54612975,7.28e-05,bubble
37328,47.88277335,0.160838392,4.03e-05,49.82987823,-0.38319548,15601.58654,1.028,134.6259457,1.53e-08,73.0,1.04e-14,16349.344130000001,374.8731748,7913.0,53.0,58570.55787999999,141.8953459,182.168524,1.183701179,6.1799999999999994e-15,2.5099999999999996e-12,0.0,0.0,4.058743,1.584923188,66.29149854,39825.0,2.121,30.399,84.25110277,9.47e-07,bubble
38818,1451.935705,0.177168464,9.05e-05,2944.948593,-0.392173405,16492.33969,0.8170000000000001,3514.4131310000002,4.71e-05,76.0,-2.45e-09,25055.66554,6113.902475,6285.0,53.0,110366.4019,1719.6067070000001,2743.062464,1.171335596,-1.85e-09,6.29e-07,0.0,0.0,46.17147827,6.382337806000001,556.8902472,41519.0,5.121,34.15,1140.905516,0.000197698,bubble
40141,101.94701090000001,0.16462201099999998,0.000106413,265.1847935,-0.13003990099999999,28322.10536,1.8030000000000002,1286.137045,4.89e-06,69.0,4.85e-11,32295.28722,11523.46189,13876.0,2.0,98660.67327999999,1639.585142,1611.4323359999999,1.28672441,-1.01e-10,-3.99e-08,0.0,0.0,22.66566658,2.276067718,176.2166741,40142.0,5.121,31.386999999999997,1124.7394060000001,0.000121603,bubble
37302,6362.010628,0.299304395,0.012182335,58927.53605,3.9022350510000003,90652.71875,3.7230000000000003,10771.459009999999,0.000288893,50.0,2.25e-07,121359.2782,135298.7515,28645.0,53.0,369825.994,11478.48902,25349.31109,2.2872528290000003,-4.93e-07,-3.5e-05,0.0,0.0,72.82037354,16.24172444,6220.926554,39799.0,2.121,30.399,22003.14679,0.015891523,bubble
46928,9.926233653999999,0.175218376,0.000250127,31.21534142,1.7299505659999999,992.0661970000001,0.078,19.85362077,1.05e-05,71.0,-3.7900000000000004e-10,1252.282216,91.51864428,600.0,10.0,19513.432419999997,27.02369747,62.83302349,1.491791918,-3.78e-10,-3.05e-07,0.0,0.0,3.0730934139999997,1.406991813,3.668844888,47214.0,4.635,0.0028,12.45862775,0.0036947290000000003,bubble
40259,37.34402414,0.16307682199999998,0.000173954,103.9484027,-0.582282109,4602.1668,0.375,48.15391817,6.13e-07,84.0,6.33e-12,6097.814394,182.4202972,2887.0,53.0,30759.26202,56.43176297,91.64352198,0.978312801,-1.17e-13,-4.43e-09,0.0,0.0,3.434014082,1.4580662569999998,27.88957247,43075.0,5.121,32.751,103.6187171,0.000402571,bubble
34491,49.41414389,0.160086488,1.9699999999999998e-05,164.6588333,-0.18828325199999998,22145.445819999997,1.585,322.29373280000004,2.42e-09,69.0,-4.96e-16,23956.31363,413.3370641,12196.0,53.0,60936.58376,286.3952753,148.304766,1.262712252,-1.8000000000000002e-16,2.1e-11,0.0,0.0,3.613576412,1.321222568,142.8349544,36552.0,2.116,31.543000000000003,134.7776524,9.04e-05,bubble
39420,581.1923293,0.346752806,0.0026399809999999996,1154.555766,0.051266163,11951.27146,0.45399999999999996,2377.738182,0.002935798,69.0,-8.17e-06,19076.549890000002,8501.187573000001,3492.0,53.0,100550.61,418.2830653,4779.047547,1.321384568,2.87e-07,0.00019557599999999999,0.0,0.0,96.0,11.03856491,1347.076541,42181.0,2.197,34.077,1716.314573,0.013159371999999999,bubble
47078,54.46838006,0.411588699,0.004292318,176.3785339,0.8713935009999999,1588.3550109999999,0.049,153.1195301,0.0034117490000000004,51.0,2.74e-06,1986.080516,212.6778725,379.0,10.0,12779.20389,79.47333691,250.70487999999997,1.690616471,1.28e-05,0.001011389,0.0,0.0,11.64870453,6.577724721,63.94554434,47364.0,2.14,24.429000000000002,83.81509939,0.121341045,bubble
39662,500.1258767,0.18240021899999997,0.0008175169999999999,1848.9482460000002,0.131826949,13988.16377,0.8190000000000001,1265.830591,5.660000000000001e-05,65.0,-7.970000000000001e-09,18630.79972,8852.589028,6301.0,53.0,79508.80935,379.1131338,2310.539237,1.370999848,-9.2e-09,-2.38e-06,0.0,0.0,27.37778282,4.189901938,330.2731562,42427.0,5.121,33.861999999999995,704.7050853999999,0.0029150079999999997,bubble
46795,70.33428545,0.354976905,0.031937997,57.49071996,1.62524184,2283.733125,0.076,89.91820565,0.021239957,49.0,4.02e-05,2591.808858,785.4193562,586.0,10.0,35015.22088,119.02588259999999,517.4852529,1.807088719,0.0005517380000000001,0.004845808,0.0,0.0,18.00937843,5.540813015,6.611754585,47081.0,4.635,0.0028,131.1683842,0.052887597,bubble
